"naraComp","naraAcc","combAcc","woldComp","f8age","f9age","f10age","naraRate","woldVcb","wiscVcb","wiscPcmp","wiscCode","wiscParr","wiscBloc","wiscObja","wiscBwsp","cntspan","attnSel","attnDiv","attnOpp","sdqHyp"
1,0.3,0.39,0.13,0.13,0.09,0.07,-0.04,0.06,-0.02,0.12,0.19,0.02,0.05,0.05,0.18,0.13,-0.04,0.03,0.01,-0.23
0.3,1,0.6,0,-0.03,0.09,0.02,0.14,-0.01,-0.03,0,0.13,-0.1,-0.09,-0.03,0.26,0.05,-0.03,0.05,0.01,-0.16
0.39,0.6,1,0.06,0.04,0.04,-0.01,0.21,0.04,0.02,0.07,0.05,0.03,0.07,0.09,0.23,0.1,-0.08,0.03,0,-0.09
0.13,0,0.06,1,0.06,-0.08,0,0.1,0.41,0.34,0.27,0.09,0.1,0.13,0.14,0.25,0.2,-0.18,-0.08,-0.19,-0.18
0.13,-0.03,0.04,0.06,1,0.25,0.02,0.01,0.12,0.09,0.11,0.13,-0.09,0.11,0.1,0.13,-0.01,-0.08,-0.01,-0.04,0.12
0.09,0.09,0.04,-0.08,0.25,1,0.39,0.02,-0.09,-0.09,-0.05,-0.02,-0.1,0.02,-0.13,0.08,0.05,0,0.1,-0.06,0.22
0.07,0.02,-0.01,0,0.02,0.39,1,0.04,-0.02,-0.02,0.13,-0.05,-0.07,0.14,0.07,-0.03,0.06,0.18,-0.01,-0.04,0.07
-0.04,0.14,0.21,0.1,0.01,0.02,0.04,1,0.02,0.09,0.04,0.14,0.01,-0.06,0.05,0.12,0.18,0.01,0.13,0,-0.02
0.06,-0.01,0.04,0.41,0.12,-0.09,-0.02,0.02,1,0.34,0.18,0.18,0.09,0.23,0.14,0.25,0.26,-0.16,-0.21,-0.12,-0.21
-0.02,-0.03,0.02,0.34,0.09,-0.09,-0.02,0.09,0.34,1,0.27,-0.01,0.16,0.19,0.15,0.14,0.22,0.02,-0.15,-0.06,-0.08
0.12,0,0.07,0.27,0.11,-0.05,0.13,0.04,0.18,0.27,1,0.12,0.24,0.28,0.35,0.15,0.13,-0.17,-0.28,-0.17,-0.16
0.19,0.13,0.05,0.09,0.13,-0.02,-0.05,0.14,0.18,-0.01,0.12,1,0.09,0.02,0.12,0.08,0.08,-0.23,-0.14,-0.11,-0.19
0.02,-0.1,0.03,0.1,-0.09,-0.1,-0.07,0.01,0.09,0.16,0.24,0.09,1,0.34,0.31,0.13,0.11,-0.19,-0.16,-0.14,0.02
0.05,-0.09,0.07,0.13,0.11,0.02,0.14,-0.06,0.23,0.19,0.28,0.02,0.34,1,0.54,0.2,0.25,-0.23,-0.31,-0.21,-0.08
0.05,-0.03,0.09,0.14,0.1,-0.13,0.07,0.05,0.14,0.15,0.35,0.12,0.31,0.54,1,0.14,0.07,-0.24,-0.26,-0.09,-0.09
0.18,0.26,0.23,0.25,0.13,0.08,-0.03,0.12,0.25,0.14,0.15,0.08,0.13,0.2,0.14,1,0.18,-0.14,-0.11,-0.13,-0.22
0.13,0.05,0.1,0.2,-0.01,0.05,0.06,0.18,0.26,0.22,0.13,0.08,0.11,0.25,0.07,0.18,1,-0.22,-0.04,-0.21,-0.18
-0.04,-0.03,-0.08,-0.18,-0.08,0,0.18,0.01,-0.16,0.02,-0.17,-0.23,-0.19,-0.23,-0.24,-0.14,-0.22,1,0.26,0.45,0.11
0.03,0.05,0.03,-0.08,-0.01,0.1,-0.01,0.13,-0.21,-0.15,-0.28,-0.14,-0.16,-0.31,-0.26,-0.11,-0.04,0.26,1,0.11,0.12
0.01,0.01,0,-0.19,-0.04,-0.06,-0.04,0,-0.12,-0.06,-0.17,-0.11,-0.14,-0.21,-0.09,-0.13,-0.21,0.45,0.11,1,0.03
-0.23,-0.16,-0.09,-0.18,0.12,0.22,0.07,-0.02,-0.21,-0.08,-0.16,-0.19,0.02,-0.08,-0.09,-0.22,-0.18,0.11,0.12,0.03,1
