"domain","task","GP_m","PC_m","GP_sd","PC_sd"
"decoding","nara_acc_bstd_f9",100.42,88.81,15,9.8
"decoding","read_comb_bstd_f9",100.01,99.11,15.17,8.29
"fluency","nara_rate_bstd_f9",100.25,92.59,14.84,12.96
"comprehension","nara_comp_bstd_f9",100.78,79.16,14.69,4.51
"comprehension","wold_comp_bstd_f8",100.33,91.28,14.99,12.08
"vocabulary","wisc_vcb_bstd_f8",100.39,88.86,15,10.48
"vocabulary","wold_vcb_bstd_f8",100.43,87.71,14.81,16.3
"execfun","cntsp_span_bstd_f10",100.26,94.17,14.78,15.23
"execfun","teach_ctr_bstd_f8",100.27,97.36,8.68,12.92
"execfun","teach_divd_bstd_f8",100.33,98.6,12.2,13.16
"execfun","teach_slct_bstd_f8",100.24,95.75,13.59,18.98
"execfun","wisc_bwsp_bstd_f8",100.31,94.39,15.01,13.79
"hyperactivity","sdq_hyp_prnt_ku",2.87,3.83,2.22,2.38
"nonverbal","wisc_bloc_bstd_f8",100.17,94.58,15,14.35
"nonverbal","wisc_code_bstd_f8",100.21,93.15,14.78,17.21
"nonverbal","wisc_obja_bstd_f8",100.18,94.4,14.89,15.76
"nonverbal","wisc_parr_bstd_f8",100.29,92.21,14.97,13.62
"nonverbal","wisc_pcmp_bstd_f8",100.27,93.99,14.94,15.32
